date,week,year,volume,is_campaign,lag_1,lag_2,lag_3,lag_4,rolling_mean_4,rolling_mean_8,rolling_std_4
2022-09-26,39,2022,497,0,507.0,485.0,544.0,542.0,519.5,540.25,28.594871335025577
2022-10-03,40,2022,487,0,497.0,507.0,485.0,544.0,508.25,529.875,25.473842793474788
2022-10-10,41,2022,491,0,487.0,497.0,507.0,485.0,494.0,521.0,10.132456102380461
2022-10-17,42,2022,530,0,491.0,487.0,497.0,507.0,495.5,511.875,8.698658900466613
2022-10-24,43,2022,467,0,530.0,491.0,487.0,497.0,501.25,510.375,19.602295783912666
2022-10-31,44,2022,509,0,467.0,530.0,491.0,487.0,493.75,501.0,26.3486242525108
2022-11-07,45,2022,440,0,509.0,467.0,530.0,491.0,499.25,496.625,26.762847382145278
2022-11-14,46,2022,472,0,440.0,509.0,467.0,530.0,486.5,491.0,40.58324777540605
2022-11-21,47,2022,483,0,472.0,440.0,509.0,467.0,472.0,486.625,28.390139133156786
2022-11-28,48,2022,493,0,483.0,472.0,440.0,509.0,476.0,484.875,28.577380332470415
2022-12-05,49,2022,496,0,493.0,483.0,472.0,440.0,472.0,485.625,22.992752481307384
2022-12-12,50,2022,499,0,496.0,493.0,483.0,472.0,486.0,486.25,10.86278049120021
2022-12-19,51,2022,473,0,499.0,496.0,493.0,483.0,492.75,482.375,6.946221994724884
2022-12-26,52,2022,473,0,473.0,499.0,496.0,493.0,490.25,483.125,11.757976016304836
2023-01-02,1,2023,510,0,473.0,473.0,499.0,496.0,485.25,478.625,14.198004554631366
2023-01-09,2,2023,488,0,510.0,473.0,473.0,499.0,488.75,487.375,18.732769861039404
2023-01-16,3,2023,466,0,488.0,510.0,473.0,473.0,486.0,489.375,17.492855684535886
2023-01-23,4,2023,476,0,466.0,488.0,510.0,473.0,484.25,487.25,19.4657819433658
2023-01-30,5,2023,488,0,476.0,466.0,488.0,510.0,485.0,485.125,18.938496948455708
2023-02-06,6,2023,694,1,488.0,476.0,466.0,488.0,479.5,484.125,10.63014581273463
2023-02-13,7,2023,529,0,694.0,488.0,476.0,466.0,531.0,508.5,109.03821959906229
2023-02-20,8,2023,550,0,529.0,694.0,488.0,476.0,546.75,515.5,100.75506604302004
2023-02-27,9,2023,530,0,550.0,529.0,694.0,488.0,565.25,525.125,89.61166218746307
2023-03-06,10,2023,553,0,530.0,550.0,529.0,694.0,575.75,527.625,79.42449244408174
2023-03-13,11,2023,572,0,553.0,530.0,550.0,529.0,540.5,535.75,12.767145334803667
2023-03-20,12,2023,557,0,572.0,553.0,530.0,550.0,551.25,549.0,17.192537140670424
2023-03-27,13,2023,584,0,557.0,572.0,553.0,530.0,553.0,559.125,17.37814719698273
2023-04-03,14,2023,563,0,584.0,557.0,572.0,553.0,566.5,571.125,14.24780684877498
2023-04-10,15,2023,578,0,563.0,584.0,557.0,572.0,569.0,554.75,11.747340124470698
2023-04-17,16,2023,584,0,578.0,563.0,584.0,557.0,570.5,560.875,12.609520212918461
2023-04-24,17,2023,742,1,584.0,578.0,563.0,584.0,577.25,565.125,9.912113800799467
2023-05-01,18,2023,617,0,742.0,584.0,578.0,563.0,616.75,591.625,83.96576683387104
2023-05-08,19,2023,597,0,617.0,742.0,584.0,578.0,630.25,599.625,76.44769453685309
2023-05-15,20,2023,613,0,597.0,617.0,742.0,584.0,635.0,602.75,72.61313012580207
2023-05-22,21,2023,628,0,613.0,597.0,617.0,742.0,642.25,609.75,67.05905357717677
2023-05-29,22,2023,629,0,628.0,613.0,597.0,617.0,613.75,615.25,12.841988423397114
2023-06-05,23,2023,636,0,629.0,628.0,613.0,597.0,616.75,623.5,15.063753405664393
2023-06-12,24,2023,617,0,636.0,629.0,628.0,613.0,626.5,630.75,9.678154093971909
2023-06-19,25,2023,741,1,617.0,636.0,629.0,628.0,627.5,634.875,7.852812659593072
2023-06-26,26,2023,616,0,741.0,617.0,636.0,629.0,655.75,634.75,57.372322014481256
2023-07-03,27,2023,573,0,616.0,741.0,617.0,636.0,652.5,634.625,59.713203453396005
2023-07-10,28,2023,576,0,573.0,616.0,741.0,617.0,636.75,631.625,72.46320905581442
2023-07-17,29,2023,576,0,576.0,573.0,616.0,741.0,626.5,627.0,78.80989785553587
2023-07-24,30,2023,580,0,576.0,576.0,573.0,616.0,585.25,620.5,20.5487225880345
2023-07-31,31,2023,610,0,580.0,576.0,576.0,573.0,576.25,614.375,2.8722813232688957
2023-08-07,32,2023,572,0,610.0,580.0,576.0,576.0,585.5,611.125,16.441816606851333
2023-08-14,33,2023,579,0,572.0,610.0,580.0,576.0,584.5,605.5,17.310882896798347
2023-08-21,34,2023,615,0,579.0,572.0,610.0,580.0,585.25,585.25,16.879474715365568
2023-08-28,35,2023,567,0,615.0,579.0,572.0,610.0,594.0,585.125,21.648710508172663
2023-09-04,36,2023,588,0,567.0,615.0,579.0,572.0,583.25,584.375,21.731313812100694
2023-09-11,37,2023,540,0,588.0,567.0,615.0,579.0,587.25,585.875,20.402205763103126
2023-09-18,38,2023,552,0,540.0,588.0,567.0,615.0,577.5,581.375,31.796226191169264
2023-09-25,39,2023,527,0,552.0,540.0,588.0,567.0,561.75,577.875,20.694202086574837
2023-10-02,40,2023,536,0,527.0,552.0,540.0,588.0,551.75,567.5,26.23451924468978
2023-10-09,41,2023,561,0,536.0,527.0,552.0,540.0,538.75,563.0,10.372238588334305
2023-10-16,42,2023,491,0,561.0,536.0,527.0,552.0,544.0,560.75,15.340577998671726
2023-10-23,43,2023,541,0,491.0,561.0,536.0,527.0,528.75,545.25,28.987066081271458
2023-10-30,44,2023,533,0,541.0,491.0,561.0,536.0,532.25,542.0,29.54516316872636
2023-11-06,45,2023,509,0,533.0,541.0,491.0,561.0,531.5,535.125,29.456182146820467
2023-11-13,46,2023,485,0,509.0,533.0,541.0,491.0,518.5,531.25,22.825424421026604
2023-11-20,47,2023,522,0,485.0,509.0,533.0,541.0,517.0,522.875,25.298221281346986
2023-11-27,48,2023,506,0,522.0,485.0,509.0,533.0,512.25,522.25,20.64582282206252
2023-12-04,49,2023,526,0,506.0,522.0,485.0,509.0,505.5,518.5,15.329709716755811
2023-12-11,50,2023,522,0,526.0,506.0,522.0,485.0,509.75,514.125,18.62569909202509
2023-12-18,51,2023,563,0,522.0,526.0,506.0,522.0,519.0,518.0,8.869423130433248
2023-12-25,52,2023,520,0,563.0,522.0,526.0,506.0,529.25,520.75,24.102212899787112
2024-01-01,1,2024,504,0,520.0,563.0,522.0,526.0,532.75,519.125,20.32035104683638
2024-01-08,2,2024,539,0,504.0,520.0,563.0,522.0,527.25,518.5,25.157835094989082
2024-01-15,3,2024,545,0,539.0,504.0,520.0,563.0,531.5,525.25,25.40997179586519
2024-01-22,4,2024,580,0,545.0,539.0,504.0,520.0,527.0,528.125,18.67261809888116
2024-01-29,5,2024,573,0,580.0,545.0,539.0,504.0,542.0,537.375,31.123410267299818
2024-02-05,6,2024,568,0,573.0,580.0,545.0,539.0,559.25,543.25,20.27107956342396
2024-02-12,7,2024,603,0,568.0,573.0,580.0,545.0,566.5,549.0,15.154757228892334
2024-02-19,8,2024,545,0,603.0,568.0,573.0,580.0,581.0,554.0,15.47040184782967
2024-02-26,9,2024,566,0,545.0,603.0,568.0,573.0,572.25,557.125,23.851974062258773
2024-03-04,10,2024,567,0,566.0,545.0,603.0,568.0,570.5,564.875,24.034697141147113
2024-03-11,11,2024,589,0,567.0,566.0,545.0,603.0,570.25,568.375,24.07453703258553
2024-03-18,12,2024,572,0,589.0,567.0,566.0,545.0,566.75,573.875,17.969882210706487
2024-03-25,13,2024,630,0,572.0,589.0,567.0,566.0,573.5,572.875,10.661457061146258
2024-04-01,14,2024,616,0,630.0,572.0,589.0,567.0,589.5,580.0,28.594871335025545
2024-04-08,15,2024,592,0,616.0,630.0,572.0,589.0,601.75,586.0,26.13267431141837
2024-04-15,16,2024,610,0,592.0,616.0,630.0,572.0,602.5,584.625,25.683976846794298
2024-04-22,17,2024,649,0,610.0,592.0,616.0,630.0,612.0,592.75,15.748015748023596
2024-04-29,18,2024,667,0,649.0,610.0,592.0,616.0,616.75,603.125,23.79600806858157
2024-05-06,19,2024,701,0,667.0,649.0,610.0,592.0,629.5,615.625,34.510867853474785
2024-05-13,20,2024,727,0,701.0,667.0,649.0,610.0,656.75,629.625,37.89788912327439
2024-05-20,21,2024,668,0,727.0,701.0,667.0,649.0,686.0,649.0,34.81379037105839
2024-05-27,22,2024,635,0,668.0,727.0,701.0,667.0,690.75,653.75,28.871843261789348
2024-06-03,23,2024,805,1,635.0,668.0,727.0,701.0,682.75,656.125,39.95309750194592
2024-06-10,24,2024,668,0,805.0,635.0,668.0,727.0,708.75,682.75,74.60283730082477
2024-06-17,25,2024,640,0,668.0,805.0,635.0,668.0,694.0,690.0,75.61745830163825
2024-06-24,26,2024,649,0,640.0,668.0,805.0,635.0,687.0,688.875,79.99583322482073
2024-07-01,27,2024,642,0,649.0,640.0,668.0,805.0,690.5,686.625,77.22046360907191
2024-07-08,28,2024,651,0,642.0,649.0,640.0,668.0,649.75,679.25,12.763881332363882
2024-07-15,29,2024,677,0,651.0,642.0,649.0,640.0,645.5,669.75,5.322906474223801
2024-07-22,30,2024,650,0,677.0,651.0,642.0,649.0,654.75,670.875,15.326991442115006
2024-07-29,31,2024,637,0,650.0,677.0,651.0,642.0,655.0,672.75,15.209646062066444
2024-08-05,32,2024,610,0,637.0,650.0,677.0,651.0,653.75,651.75,16.760568804985905
2024-08-12,33,2024,588,0,610.0,637.0,650.0,677.0,643.5,644.5,27.86275889665869
2024-08-19,34,2024,612,0,588.0,610.0,637.0,650.0,621.25,638.0,27.729346668586825
2024-08-26,35,2024,616,0,612.0,588.0,610.0,637.0,611.75,633.375,20.03954423966108
2024-09-02,36,2024,655,0,616.0,612.0,588.0,610.0,606.5,630.125,12.583057392117933
2024-09-09,37,2024,608,0,655.0,616.0,612.0,588.0,617.75,630.625,27.74136502289196
2024-09-16,38,2024,623,0,608.0,655.0,616.0,612.0,622.75,622.0,21.746647251166486
2024-09-23,39,2024,580,0,623.0,608.0,655.0,616.0,625.5,618.625,20.599352740640505
2024-09-30,40,2024,557,0,580.0,623.0,608.0,655.0,616.5,611.5,31.246333118196976
2024-10-07,41,2024,648,1,557.0,580.0,623.0,608.0,592.0,604.875,29.359836511806375
2024-10-14,42,2024,558,0,648.0,557.0,580.0,623.0,602.0,612.375,41.09338957383129
2024-10-21,43,2024,625,0,558.0,648.0,557.0,580.0,585.75,605.625,42.835927288511755
2024-10-28,44,2024,548,0,625.0,558.0,648.0,557.0,597.0,606.75,46.56894530335281
2024-11-04,45,2024,586,0,548.0,625.0,558.0,648.0,594.75,593.375,49.28404068932118
2024-11-11,46,2024,541,0,586.0,548.0,625.0,558.0,579.25,590.625,34.48067091381294
2024-11-18,47,2024,585,0,541.0,586.0,548.0,625.0,575.0,580.375,38.7556447501522
2024-11-25,48,2024,571,0,585.0,541.0,586.0,548.0,565.0,581.0,23.846732830026568
2024-12-02,49,2024,729,1,571.0,585.0,541.0,586.0,570.75,582.75,20.982135258357296
2024-12-09,50,2024,562,0,729.0,571.0,585.0,541.0,606.5,592.875,83.70384300217843
2024-12-16,51,2024,549,0,562.0,729.0,571.0,585.0,611.75,593.375,78.73743285968457
2024-12-23,52,2024,579,0,549.0,562.0,729.0,571.0,602.75,583.875,84.64976865493098
